Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2022,Virginia Beach,VA,Passenger,3,1,4,485,489,0.82
December 31 2018,Montgomery,TX,Passenger,2,0,2,65,67,2.99
February 28 2022,Prince George's,MD,Passenger,2,1,3,150,153,1.96
April 30 2018,Montgomery,PA,Passenger,1,0,1,35,36,2.78
February 29 2020,Montgomery,PA,Passenger,2,0,2,37,39,5.13
June 30 2022,Rockdale,GA,Passenger,1,0,1,6,7,14.29
October 31 2021,St. Louis,MO,Passenger,1,0,1,79,80,1.25
September 30 2022,Harford,MD,Passenger,1,1,2,43,45,4.44
May 31 2023,Sarasota,FL,Passenger,1,0,1,27,28,3.57
August 31 2021,Adams,WA,Truck,0,0,0,5412,5412,0.00
February 28 2023,Williamson,TX,Passenger,0,2,2,63,65,3.08
June 30 2020,Larimer,CO,Passenger,1,0,1,50,51,1.96
September 30 2022,Newport,RI,Passenger,0,1,1,64,65,1.54
April 30 2023,Sacramento,CA,Truck,1,0,1,32,33,3.03
November 30 2022,Clark,WA,Truck,39,0,39,81976,82015,0.05
August 31 2022,Wahkiakum,WA,Passenger,24,12,36,3077,3113,1.16
February 28 2023,Adams,CO,Passenger,1,0,1,30,31,3.23
August 31 2017,Columbia,WA,Passenger,1,1,2,2353,2355,0.08
July 31 2020,Arlington,VA,Passenger,0,2,2,151,153,1.31
January 31 2024,Jefferson,WA,Truck,19,0,19,9188,9207,0.21
February 28 2019,New London,CT,Passenger,0,1,1,241,242,0.41
November 30 2019,New London,CT,Passenger,0,1,1,239,240,0.42
September 30 2017,Garfield,WA,Truck,0,0,0,938,938,0.00
